@relation Ribosome_biogenesis
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute class {1,2,3,4,5 }
@data
0.003393,0.000218,0.003384,0.000195,0.002328,0.000156,0.001768,0.000153,0.002043,0.000326,0.054909,1.146402,0.722125,2.030224,0.638213,8.572374,6.901503,2.337634,3.107291,0.515895,1.047237,-0.213376,0.724421,0.002795,0.002945,1
0.003134,0.000098,0.003108,0.000101,0.002914,0.000280,0.001873,0.000218,0.002424,0.000590,0.057301,1.856625,0.384155,1.479556,0.566187,8.093269,4.168482,2.116202,3.130293,0.796590,1.242389,-0.054424,0.401835,0.002525,0.001365,1
0.004592,0.000949,0.004723,0.000848,0.007434,0.004393,0.002617,0.000315,0.004542,0.003688,0.066889,0.847596,0.901214,2.393531,0.675958,10.174409,10.404789,2.517459,2.894301,0.383376,0.916372,-0.437367,0.903993,0.003006,0.001211,5
0.003134,0.000098,0.003108,0.000101,0.002914,0.000280,0.001873,0.000218,0.002424,0.000590,0.057301,1.856625,0.384155,1.479556,0.566187,8.093269,4.168482,2.116202,3.130293,0.796590,1.242389,-0.054424,0.401835,0.002525,0.001365,1
0.004026,0.000161,0.003951,0.000168,0.002972,0.000278,0.001868,0.000211,0.002441,0.000617,0.054884,1.535274,0.539231,1.656557,0.587536,8.395128,5.127328,2.226779,3.150756,0.648304,1.154155,-0.108305,0.550800,0.005003,0.002654,1
0.003757,0.000404,0.003779,0.000341,0.002386,0.000158,0.001786,0.000189,0.002077,0.000353,0.054002,0.900116,0.839646,2.575333,0.676745,8.958735,9.791973,2.499817,3.132299,0.425701,0.958738,-0.323438,0.839206,0.005643,0.001177,1
0.003400,0.000316,0.003478,0.000296,0.003694,0.000951,0.002041,0.000240,0.002889,0.001101,0.055596,0.815700,0.853764,2.690312,0.694539,9.353584,10.052453,2.515330,3.115214,0.399609,0.927023,-0.344861,0.853549,0.002566,0.004918,1
0.004008,0.000798,0.004293,0.000704,0.004438,0.001147,0.002214,0.000369,0.003273,0.001414,0.066416,0.995419,0.796219,1.956347,0.674280,9.679974,7.411327,2.339258,2.962676,0.493064,1.014855,-0.288800,0.799549,0.002893,0.003763,3
0.004261,0.000150,0.004207,0.000142,0.003730,0.000348,0.002327,0.000301,0.003046,0.000791,0.055372,2.335964,0.229382,1.474853,0.531707,7.883502,3.723369,2.068681,3.203620,0.984044,1.338745,-0.022082,0.263705,0.002536,0.004339,1
0.004133,0.000116,0.004067,0.000131,0.003627,0.000406,0.002284,0.000289,0.002970,0.000775,0.059096,2.209520,0.239616,1.472841,0.538668,8.861269,3.599550,2.055540,3.164802,0.929437,1.312491,-0.025292,0.279650,0.002177,0.003243,1
0.004188,0.000126,0.004191,0.000118,0.002843,0.000207,0.002079,0.000249,0.002480,0.000457,0.054539,2.332092,0.214022,1.476988,0.527672,8.786468,3.600587,2.056688,3.190077,0.963003,1.331750,-0.023485,0.270345,0.001417,0.002799,1
0.004127,0.000129,0.004130,0.000119,0.002813,0.000220,0.001998,0.000237,0.002366,0.000478,0.054768,2.357010,0.234155,1.540971,0.523054,8.235948,3.796089,2.080548,3.209388,0.959387,1.333991,-0.027274,0.291467,0.005565,0.001965,1
0.004341,0.000227,0.004391,0.000206,0.003023,0.000303,0.001971,0.000204,0.002439,0.000594,0.062578,1.499217,0.524028,1.604618,0.594118,9.455353,4.728424,2.161798,3.070952,0.642021,1.149631,-0.112844,0.556871,0.006151,0.002962,1
0.004083,0.000114,0.004087,0.000114,0.002726,0.000172,0.001929,0.000236,0.002298,0.000457,0.056408,2.086900,0.295896,1.492390,0.543554,8.237991,3.839867,2.080005,3.160412,0.867274,1.286690,-0.033690,0.320702,0.005502,0.002183,1
