%
@relation Meier500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
0.018556,0.0043956,0.015314,0.00079796,0.01677,0.00099629,0.0012537,0.00043037,0.0055103,5.5304e-05,0.0021263,0.00011144,0.061129,0.38483,0.19449,0.22652,0.30528,0.61361,0.13369,0.70357,0.77746,0.42684,0.76813,0.98107,0.20152,0.0127,0.024671,5
0.028784,0.0040293,0.020458,0.0015161,0.022869,0.0017209,0.088204,0.19779,0.036017,0.027541,0.053487,0.10483,0.024712,0.64411,0.29279,0.40072,0.15027,0.64998,0.27911,0.83208,0.87751,0.60032,0.87173,0.85332,0.56896,0.0012742,0.012085,4
0.027469,0.0051282,0.022679,0.00087775,0.02452,0.00099629,0.0015303,0.00049185,0.0067082,0.00022121,0.0024558,0.00014859,0.023705,0.47863,0.226,0.30116,0.15422,0.58789,0.17892,0.75419,0.85219,0.3933,0.76107,0.8947,0.48244,0.0094822,0.010936,5
0.0032145,0,0.0033902,0,0.0034303,0,0.015211,0.010022,0.0095831,0.0073554,0.010392,0.013224,0.048177,0.45637,0.20761,0.2765,0.25163,0.59576,0.16361,0.74196,0.82889,0.47918,0.80482,0.9609,0.29672,0.0022535,0.0077025,1
0.10579,0.10659,0.14975,0.0703,0.14166,0.073453,0.055109,0.05435,0.027392,0.023449,0.032973,0.050854,0.14308,0.19746,0.53123,0.2356,0.56187,0.2166,0.14236,0.65877,0.59035,0.30623,0.60031,0.79507,0.58538,0.014591,0.053077,2
0.11528,0.090476,0.15513,0.046601,0.14496,0.050992,0.059184,0.044759,0.03993,0.030915,0.041478,0.0539,0.21329,0.17297,0.38158,0.14145,0.59295,0.21792,0.093664,0.5679,0.52988,0.27531,0.56199,0.89457,0.39427,0.053065,0.054523,2
0.028784,0.0051282,0.023264,0.0012767,0.025283,0.0013586,0.041889,0.035045,0.018847,0.018859,0.026594,0.03945,0.047565,0.40615,0.23657,0.25636,0.28974,0.71826,0.15582,0.73214,0.80713,0.44262,0.77976,0.97305,0.24462,0.0044796,0.017284,1
0.040181,0.0062271,0.03285,0.0011969,0.035574,0.0014491,0.036598,0.026806,0.025315,0.020296,0.026175,0.033358,0.024441,0.55328,0.23236,0.34419,0.1821,0.69131,0.21031,0.79183,0.87969,0.53675,0.84484,0.9603,0.30673,0.0057356,0.0053349,1
0.014027,0.0040293,0.01169,0.00071816,0.012578,0.00081514,0.0011062,0.00024593,0.0047916,0.00011061,0.001737,7.4294e-05,0.028776,0.51889,0.17406,0.29532,0.18147,0.86629,0.1718,0.73837,0.84581,0.47621,0.81872,0.91788,0.427,0.0009093,0.015807,5
0.09059,0.030769,0.051555,0.016917,0.062127,0.017661,0.10478,0.12143,0.031225,0.032684,0.062292,0.10438,0.19339,0.14661,0.35304,0.059487,0.59738,0.38117,0.06985,0.5399,0.51571,0.22493,0.52356,0.9603,0.25421,0.010617,0.041307,3
