%
@relation Huotari500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
0.78693,0.40742,0.53612,0.28059,0.63502,0.60603,0.30998,0.18185,0.53369,0.65023,0.080553,0.2715,0.64153,0.21546,0.44152,0.648,0.19631,0.75994,0.7311,0.23411,0.65399,0.67167,0.66819,0.021019,0.11754,1
0.51958,0.37456,0.5665,0.52032,0.39274,0.24035,0.23173,0.18067,0.37107,0.35686,0.0059187,0.45366,0.82743,0.72879,0.2429,0.84828,0.63161,0.96829,0.94933,0.31697,0.78077,0.55269,0.82971,0.17094,0.14512,2
0.46654,0.22756,0.41363,0.33182,0.43747,0.36583,0.33538,0.15214,0.43822,0.42186,0.035053,0.3402,0.79169,0.45313,0.389,0.48189,0.4164,0.87269,0.83673,0.28915,0.72567,0.5206,0.81419,0.1006,0.097343,2
0.41566,0.31131,0.27849,0.21574,0.58823,0.69882,0.46659,0.24525,0.55591,0.65383,0.10694,0.12069,0.95651,0.40763,0.71552,0.37351,0.42248,0.79051,0.63708,0.14592,0.43621,0,0.96847,0.07667,0.036577,3
0.28122,0.15795,0.18128,0.10917,0.43777,0.38352,0.28759,0.15135,0.41618,0.43408,0.58694,0.084286,0.51998,0.053685,0.81054,0.047669,0.047489,0.29646,0.2644,0.11398,0.36946,0.69067,0.40968,0.12091,0.010165,1
0.3802,0.21343,0.28095,0.17056,0.32503,0.35944,0.31961,0.29754,0.32166,0.34919,0.039889,0.15918,0.94958,0.52775,0.55391,0.84508,0.53864,0.93855,0.80461,0.13926,0.53651,0.19324,0.95443,0.018855,0.0087657,1
0.55042,0.45442,0.56207,0.59079,0.57987,0.74853,0.29902,0.19704,0.47751,0.67404,0.063811,0.2127,0.92614,0.58852,0.51099,0.58543,0.57588,0.88044,0.78792,0.19261,0.60951,0.32706,0.90213,0.16577,0.10133,3
0.26241,0.22403,0.22266,0.18526,0.51455,0.52751,0.29782,0.15544,0.53844,0.56487,0.28012,0.10753,0.58426,0.078399,0.75129,0.12753,0.070495,0.47917,0.41215,0.13542,0.43108,0.52907,0.61775,0.15663,0.19543,1
0.31637,0.14841,0.19507,0.099654,0.49894,0.28595,0.49236,0.23693,0.49077,0.41037,0.21917,0.25703,0.35204,0.10884,0.55641,0.12917,0.089314,0.52545,0.50734,0.27826,0.63969,0.86409,0.37142,0.088138,0.13267,1
0.41751,0.13781,0.35369,0.25594,0.41606,0.29978,0.4247,0.15412,0.43123,0.36327,0.024692,0.53507,0.70504,0.53641,0.27121,0.49047,0.46337,0.88527,0.88937,0.43932,0.84068,0.61768,0.76326,0.17699,0.24961,2
