%
@relation WildDetailed500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.48905,0.60486,0.54908,0.71101,0.70893,0.6675,0.8762,0.21894,0.66008,0.59888,0.08926,0.39428,0.90452,0.79937,0.65153,0.48147,0.65955,0.9023,0.87016,0.43357,0.73787,0.49956,0.91077,0.20563,0.054331,8
0.277,0.12853,0.33214,0.3847,0.50832,0.18082,0.91257,0.21071,0.58823,0.26102,0.12391,0.21014,0.92723,0.62295,0.7774,0.51282,0.59547,0.89875,0.82032,0.30119,0.59983,0.38165,0.94386,0.1245,0.18971,6
0.26429,0.019611,0.2584,0.022173,0.51073,0.19289,0.90968,0.19629,0.59642,0.26867,0.086791,0.67782,0.16486,0.25584,0.56324,0.56881,0.15512,0.72416,0.88344,0.69398,0.88928,0.98294,0.19781,0.027374,0.02604,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.74301,0.59352,0.76133,0.54047,0.51494,0.20257,0.94099,0.31778,0.62559,0.27586,0.12152,0.15352,0.92291,0.44703,0.82176,0.75957,0.41462,0.88275,0.79327,0.23781,0.52699,0.34203,0.95441,0.18835,0.30603,8
0.48066,0.32091,0.46493,0.28843,0.35145,0.067522,0.83887,0.14001,0.45476,0.11681,0.10784,0.23335,0.85863,0.41206,0.75234,0.62759,0.36011,0.85806,0.80966,0.31203,0.61903,0.49987,0.88624,0.063328,0.10635,3
0.22435,0.030956,0.21327,0.042498,0.43042,0.12917,0.87572,0.1558,0.53388,0.1916,0.11275,0.41598,0.64995,0.37983,0.65737,0.54695,0.29415,0.79033,0.85077,0.48605,0.76501,0.78271,0.65364,0.058112,0.065007,9
0.381,0.21815,0.36996,0.19364,0.35513,0.080135,0.83839,0.12217,0.4608,0.12377,0.088298,0.41773,0.78132,0.54076,0.66767,0.50853,0.48572,0.8877,0.91527,0.51145,0.77292,0.65861,0.79972,0.17849,0.039623,3
0.31753,0.027553,0.31316,0.030303,0.27141,0.0067413,0.967,0.04324,0.41238,0.0076501,0.061359,0.80808,0.29786,0.35468,0.53326,0.74127,0.24157,0.80542,0.97114,0.80843,0.93774,0.95111,0.34647,0.023171,0.078105,10
0.2908,0.29562,0.44706,1,0.36215,0.10558,0.82563,0.14001,0.44811,0.14033,0.091279,0.29261,0.87801,0.577,0.71687,0.5396,0.57129,0.91835,0.8858,0.3711,0.67681,0.48615,0.90947,0.14984,1,6
0.68067,1,0.68724,0.93699,0.46506,0.16788,0.86994,0.19218,0.52282,0.22859,0.20571,0.14014,0.90646,0.31426,0.85335,0.7151,0.31071,0.78889,0.69587,0.24164,0.51256,0.29893,0.94197,0.39003,0.36624,8
0.21191,0.017342,0.21034,0.019771,0.38027,0.094922,0.82225,0.11805,0.47523,0.15095,0.067099,0.79013,0.24401,0.32937,0.53363,0.7089,0.21119,0.78185,0.94459,0.78022,0.92867,0.96895,0.27464,0.039613,0.012989,9
0.43897,0.29935,0.47637,0.35606,0.42454,0.15135,0.86272,0.14345,0.51771,0.19856,0.10404,0.17354,0.94714,0.59025,0.80375,0.71538,0.5496,0.9245,0.82882,0.25928,0.55529,0.31792,0.97269,0.025581,0.04314,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
