@relation 'HTS data set-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P75.0-weka.filters.unsupervised.instance.RemovePercentage-P4.21'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute class {1,2,3,4,5}

@data
0.002478,0.000316,0.003029,0.000907,0.002864,0.000837,0.004694,0.000908,0.002042,0.000452,0.002802,0.001397,0.159324,1.383408,0.376656,1.364943,0.69592,4.168161,2.763202,1.774834,2.278083,0.852405,1.127456,-0.127499,0.538741,0.00488,0.008719,2
0.002543,0.000272,0.003075,0.00061,0.00289,0.000589,0.004915,0.000752,0.002199,0.000587,0.003086,0.001479,0.223396,1.215094,0.203066,0.824336,0.716544,4.181132,1.831342,1.550068,2.061333,0.768971,1.063338,-0.065596,0.362864,0.017531,0.008953,2
0.001951,0.000039,0.001947,0.000042,0.001948,0.000041,0.003977,0.000594,0.001935,0.000369,0.002589,0.00109,0.072174,2.817223,0.034867,1.484194,0.515343,9.112478,3.020741,1.956314,3.054976,1.220487,1.427684,-0.016768,0.225133,0.001555,0.002929,1
0.002029,0.000042,0.002029,0.000041,0.002029,0.000042,0.00369,0.00046,0.002016,0.000395,0.002575,0.000926,0.051074,3.828157,0.029982,1.988538,0.44392,8.846791,4.063484,2.103972,3.315028,1.474506,1.536586,-0.0247,0.282294,0.001968,0.000996,1
0.00185,0.000036,0.001848,0.000035,0.001848,0.000035,0.001765,0.000028,0.001759,0.00003,0.001759,0.00003,0.055029,3.591837,-0.037641,1.707908,0.443504,10.571429,3.326531,1.97174,3.193591,1.31112,1.49287,-0.05109,0.392983,0.000381,0.00269,5
0.002374,0.000109,0.002189,0.000238,0.002238,0.000221,0.007388,0.001999,0.00209,0.000619,0.003781,0.002838,0.205234,1.034027,0.169969,0.353679,0.719489,5.79017,1.375631,1.480809,2.010554,0.632995,0.999043,-0.024701,0.23396,0.003573,0.006815,3
0.001938,0.00004,0.001894,0.000043,0.001903,0.000047,0.009508,0.004682,0.002272,0.000861,0.003912,0.00396,0.074317,2.678571,0.193188,1.444426,0.503877,9.107143,3.881378,2.044593,3.001531,1.066991,1.377636,-0.058435,0.412416,0.001254,0.000902,3
0.001759,0.00003,0.001753,0.00003,0.001754,0.00003,0.001722,0.000028,0.001714,0.00003,0.001715,0.000029,0.066593,3.333333,0.001433,1.698806,0.472782,9.442424,3.337594,1.98923,3.101722,1.322094,1.486116,-0.067814,0.443627,0.001307,0.001753,5
0.001948,0.000039,0.001946,0.00004,0.001947,0.00004,0.003526,0.00033,0.002209,0.00064,0.002688,0.000863,0.050562,3.281481,0.0352,1.788148,0.461514,8.17037,3.519122,2.036475,3.259472,1.258765,1.451338,-0.050141,0.39557,0.003226,0.000913,1
0.00219,0.000052,0.002174,0.000055,0.002181,0.000054,0.003994,0.000976,0.002165,0.000463,0.003042,0.001237,0.051832,2.567294,0.216314,1.626653,0.52116,8.778582,3.946632,2.098646,3.235386,1.082493,1.383691,-0.027199,0.292319,0.004765,0.002667,3
